Name,Symbol,ContractAddress,ContractDecimal,TotalSupply,PegOnBC,PegOnBSC
LTC BEP2,LTC-F07,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,18,23000000000000,22252539760049,7474602399510000076410
LTO Network,LTO-BDF,0x857B222Fc79e1cBBf8Ca5f78CB133d1b7CF34BBd,18,50000000000000000,3941911948575012,460580880514249880000000000
Measurable Data Token,MDT-14A,0x668DB7aa38eaC6B40c9D13dBE61361DC4c4611d1,18,20000000000000000,19997481427807478,25185721925220000000000
Mithril,MITH-C76,0x304aA6B8215eaF3EABB2149ffC842205676FCe36,18,98885506800409432,10687124887425120,881983819129843120000000000
Maker,MKR-F04,0x5f0Da599BB2ccCfcf6Fdfd7D81743B6020864350,18,600000000000,597569237346,24239530540000000000
NEARProtocol,NEAR-4FD,0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63,18,205000000000000,202504522690009,474959640939910000000000
NOW Token,NOW-E68,0x02533c1e9AbBAfE5816ed8B27c0D22a8731075E0,18,9993949570000000,9566733661479282,4272159085207180000000000
NPX Binance token,NPXB-1E8,0xd8CB4C2369db13C94c90C7fD3bEbc9757900Ee6b,18,2980000000000000,801587083987170,21784129160128300000000000
Pundi X NEM,NPXSXEM-89C,0xFb1f2FeB4A48087D25FDF13Cc98272F3Efca0939,18,4474824475368000000,4289283316558374120,1855411588096258800000000000
ONTBEP2,ONT-33D,0xFd7B3A77848f1C2D67E05E54d78d174a0C850335,18,1500000000000000,1477991171927001,220088280729990019118335
Paxos Standard,PAX-F25,0xb7F8Cd00C5A06c0537E2aBfF0b58033d02e5E094,18,599906900000000,599834923797052,2001650786093783677649103
PAX Gold,PAXG-9B2,0x7950865a9140cB519342433146Ed5b40c6F210f7,18,25000000000,25000000000,50000000000000000000
Red Pulse Phoenix Binance,PHB-2DF,0xDff88A0A43271344B760b58a35076bf05524195c,18,337430775104531955,336296973850186526,11338012543454290000000000
Propel,PROPEL-6D9,0x9B44Df3318972bE845d83f961735609137C4C23c,18,800000000000000000,778438387143233335,215616128567666650000000000
Raven Protocol,RAVEN-F66,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,18,1000000000000000000,898659567886223431,1013404321137765690000000000
Earneo,RNO-14E,0x92A0d359C87b8F3fe383AA0a42C19D1A2aFE6Be0,18,65000000000000000,46860928018339133,0
ShareToken,SHR-DB6,0x5fb4968fC85868DF3aD2d6e59883a10570f01D18,18,439600000000000000,417835169452219247,217648305477807530000000000
SynthetixNetworkToken,SNX-C26,0x9Ac983826058b8a9C7Aa1C9171441191232E8404,18,80000000000000,77169209508195,228307904918050000000000
SPARTAN PROTOCOL TOKEN,SPARTA-7F3,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,18,6343168584370838,6342105448829606,10631355412320000000000
SushiToken,SUSHI-134,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4,18,400000000000000,395435058354357,45649416456430009430589
Swingby Token,SWINGBY-888,0x71DE20e0C4616E7fcBfDD3f875d568492cBE4739,18,88978809143231651,84042179446085982,159578205539140180000000000
Swipe,SXP-CCC,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,18,28536878800000000,28486460621844710,4850319781552900009414461
TokenClub,TCT-826,0xCA0a9Df6a8cAD800046C1DDc5755810718b65C44,18,1279111200000000,335207208099458,9439039919005420000000000
Test token,TEST-825,0x39c0308fB2221Ff4c3485C2817fF126Bfb9726f6,18,10000600000000000,10000590400000000,96000000000000000000
Test PancakeSwap Token,TESTCAKE-951,0x5BF7CF80f53083cdcb5e651Ae367B4449826E0B9,18,20323510883054930,20323510883054930,0
Tokocrypto Token,TKO-DF1,0x9f589e3eabe42ebC94A44727b3f3531C0c877809,18,50000000000000000,49999989626405675,103735943250000000000
Trust Wallet,TWT-8C2,0x4B0F1812e5Df2A09796481Ff14017e6005508003,18,99941518491209999,96245908892724898,37540923458256994796535760
Uniswap Finance,UNFI-FB7,0xA7cA04F7602cD7A939d3E4827F442f48cF8E9daD,18,1000000000000000,868959026232673,1310409737673270000000000
Uniswap,UNI-DD8,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,18,300000000000000,297112734092575,28873287362752193246798
USD Coin,USDC-CD2,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,18,1400000000000000,1359946354222250,6400536458888710000048272
USDTBEP2,USDT-6D8,0x55d398326f99059fF775485246999027B3197955,18,8499978741230200,8226795443744245,2731832972364789152907347
Wrapped UST Token,UST-290,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,18,3686524912122696,3685203116194320,13217959283760365444630
VAI Stablecoin,VAI-B2D,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,18,9885856091210938,9885856091210938,10571612
Vote,VOTE-FD4,0x6B574beb42bFa9701Ab383fAF0EE02CDBEca3Ea5,18,100000000000000000,318588431550133,996814115684498670000000000
Wrapped Navcoin,WNAV-D49,0xBFEf6cCFC830D3BaCA4F6766a0d4AaA242Ca9F3D,8,589481159452729,589481059452729,100000000
WazirX Token,WRX-ED1,0x2a459DD33f05Ed8EA9584505Cf04698BE5654e6d,18,96264666899000000,37601717051889682,586629498471103180000000000
XRP BEP2,XRP-BF2,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,18,10080000000000000,9696975646908304,3830243530916960008860724
XTZ BEP2,XTZ-F7A,0x16939ef78684453bfDFb47825F8a5F714f12623a,18,400000000000000,395911034289673,41056648241871781321114
Venus,XVS-795,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,18,3000000000000000,2999954104086176,458959138240000000000
yearnfinance,YFI-1A4,0x88f1A5ae2A3BF98AEAF342D26B30a79438c9142e,18,60000000000,59586445108,4135548920000000000
YFIIBEP2,YFII-061,0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,18,125300000000,123622208364,763777916360000000000
ZECBEP2,ZEC-93E,0x1Ba42e5193dfA8B03D15dd1B86a3113bbBEF8Eeb,18,10000000000000,9833299432723,1667005672770000000000
Zilliqa,ZIL-BB2,0xb86AbCb37C3A4B64f74f59301AFF131a1BEcC787,12,10265458843671169,10264108668683933,13562564310728470
